NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
SYNERGETIC VENTURES PVT LTD,Private Company,"Validation, EarlyTraction, Scaling","Aeronautics Aerospace & Defence, AI, Chemicals, Renewable Energy, Green Technology, Food & Beverages, Healthcare & Lifesciences, IT Services, Pets & Animals, Other Specialty Retailers","Drones, Others, Machine Learning, NLP, Others, Commodity Chemicals, Agricultural Chemicals, Specialty Chemicals, Diversified Chemicals, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Restaurants, Microbrewery, Food Processing, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management, Others, Others, Auto Vehicles, Parts & Service Retailers, Home Improvement Products & Services Retailers, Home Furnishings Retailers, Computer & Electronics Retailers","E-commerce, Engineering, Governments, Manufacturing, Marketplace, Online Aggregator, Platform",2 Crore - 5 Crore INR,"Thane, Maharashtra"
YOURNEST VENTURE CAPITAL,,"Validation, EarlyTraction, Scaling","AI, Analytics, AR VR (Augmented + Virtual Reality), Telecommunication & Networking, Computer Vision, Green Technology, Finance Technology, Technology Hardware","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Others, Waste Management, Clean Tech, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Embedded, Semiconductor, Electronics, 3d printing","Hyperlocal, Manufacturing, Peer to Peer, Research, SaaS, Sharing Economy, Social Enterprise, Subscription Commerce",2 Crore - 5 Crore INR,"New Delhi, Delhi"
JUBIN SHAH,Private Company,"Validation, EarlyTraction","AI, AR VR (Augmented + Virtual Reality), Healthcare & Lifesciences, Robotics","Machine Learning, NLP, Others, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Robotics Technology, Robotics Application, Others","Consulting, Marketplace, Platform",0 - 50 Lacs INR,"New Delhi, Delhi"
SANJAY,Venture Capital,EarlyTraction,"AI, Healthcare & Lifesciences, Robotics, Security Solutions, Agriculture","Machine Learning, NLP, Others, Medical Devices Biomedical, Health & Wellness, Healthcare Services, Healthcare Technology, Robotics Technology, Robotics Application, Others, Cyber Security, Home Security solutions, Others, Agri-Tech","Consumer Internet, Discovery, Engineering",50 Lacs - 2 Crore INR,"Hyderabad, Telangana"
MANOJ KUMAR AGARWAL,Venture Capital,EarlyTraction,"AI, Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Education, Finance Technology, Healthcare & Lifesciences, Human Resources, Internet of Things, Media & Entertainment","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, E-learning, Education Technology, Coaching, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Insurance, Business Finance, Bitcoin and Blockchain, Microfinance, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Recruitment Jobs, Training, Skills Assessment, Talent Management, Internships, Others, Smart Home, Wearables, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment","Consulting, Consumer Internet, Discovery, Enterprise Mobility, Mobile, Rental, SaaS, Sharing Economy, Social Enterprise, Subscription Commerce",50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
CHERIKA JAIN,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","Analytics, Advertising, AR VR (Augmented + Virtual Reality), Computer Vision, Telecommunication & Networking, Agriculture, AI, Green Technology, Fashion, Finance Technology, Enterprise Software, Food & Beverages, Dating Matrimonial, Education, Renewable Energy, Healthcare & Lifesciences, Internet of Things, IT Services, Human Resources, Pets & Animals, Media & Entertainment, Retail, House-Hold Services, Professional & Commercial Services, Sports, Social Impact, Social Network, Textiles & Apparel, Logistics, Travel & Tourism, Security Solutions, Other Specialty Retailers, Robotics","Big Data, Business Intelligence, Data Science, Others, AdTech, Online Classified, Others, Others, Others, Integrated communication services, Network Technology Solutions, Others, Wireless, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Apparel, Fan Merchandise, Fashion Technology, Jewellery, Lifestyle, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Others, Coaching, E-learning, Education Technology, Others, Skill Development, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development, Internships, Others, Recruitment Jobs, Skills Assessment, Talent Management, Training, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Baby Care, Home Care, Laundry, Others, Personal Care, Business Support Services, Business Support Supplies, Commercial Printing Services, Employment Services, Environmental Services & Equipment, Others, Professional Information Services, Fantasy Sports, Others, Sports Promotion and Networking, Corporate Social Responsibility, NGO, Others, Others, Apparel & Accessories, Leather Footwear, Leather Textiles Goods, Non- Leather Footwear, Non- Leather Textiles Goods, Others, Others, Experiential Travel, Facility Management, Holiday Rentals, Hospitality, Hotel, Others, Ticketing, Wayside Amenities, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Auto Vehicles, Parts & Service Retailers, Computer & Electronics Retailers, Home Furnishings Retailers, Home Improvement Products & Services Retailers, Others, Others, Robotics Application, Robotics Technology","Consumer Internet, Discovery, E-commerce, Engineering, Enterprise Mobility, Hyperlocal, Location Based Services, Manufacturing, Marketplace, Mobile, Offline, Online Aggregator, Peer to Peer, Platform, Rental, Research, SaaS, Sharing Economy, Social Enterprise, Subscription Commerce",5 Crore + INR,"Mumbai, Maharashtra"
ARJUMAN AMJAD,Venture Capital,"Validation, EarlyTraction, Scaling","AI, Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Enterprise Software, Fashion, Finance Technology, Healthcare & Lifesciences, Internet of Things, Retail, Advertising, Agriculture, Logistics","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Fashion Technology, Lifestyle, Apparel, Fan Merchandise, Jewellery, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, AdTech, Online Classified, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing",Consulting,50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
PAPER VC,,EarlyTraction,"Aeronautics Aerospace & Defence, Analytics","Drones, Others, Business Intelligence, Big Data, Data Science",Consumer Internet,50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
TURNINGIDEAS VENTURES LLP,Angel Group,"Validation, EarlyTraction, Scaling","Education, Internet of Things, IT Services, Retail, Social Impact","Coaching, E-learning, Education Technology, Others, Skill Development, Manufacturing & Warehouse, Others, Smart Home, Wearables, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development, Comparison Shopping, Others, Retail Technology, Social Commerce, Corporate Social Responsibility, NGO","Consulting, Discovery, Enterprise Mobility, Marketplace, Mobile, SaaS",0 - 50 Lacs INR,"Delhi, Delhi"
SBG,Others,"Ideation, Validation, EarlyTraction, Scaling","AI, Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Design, Healthcare & Lifesciences, Internet of Things, Media & Entertainment, Robotics","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Others, Web Design, Industrial Design, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Robotics Technology, Robotics Application","Consumer Internet, Discovery, E-commerce, Engineering, Enterprise Mobility, Mobile, SaaS, Subscription Commerce",5 Crore + INR,"Delhi, Delhi"
HARI BALASUBRAMANIAN,,"Ideation, Validation, EarlyTraction, Scaling",Marketing,"Sales, Others",Marketplace,0 - 25 Lacs INR,"Kolkata, West Bengal"
MOHAMMAD AZHAR,Others,"EarlyTraction, Scaling","Education, Renewable Energy, Healthcare & Lifesciences, Social Impact, Agriculture","E-learning, Education Technology, Skill Development, Others, Renewable Solar Energy, Renewable Energy Solutions, Others, Medical Devices Biomedical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Location Based Services, Manufacturing, Marketplace, Online Aggregator, Platform, SaaS, Social Enterprise",0 - 50 Lacs INR,"Marmagao, Goa"
MURLI RK,Private Company,Scaling,"Education, Non- Renewable Energy, Renewable Energy, Finance Technology, Food & Beverages, Technology Hardware, Healthcare & Lifesciences, IT Services, Security Solutions","E-learning, Education Technology, Skill Development, Coaching, Others, Oil & Gas Exploration and Production, Oil & Gas Drilling, Oil Related Services and Equipment, Oil & Gas Transportation Services, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Restaurants, Microbrewery, Food Processing, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management, Others, Cyber Security, Home Security solutions","Consumer Internet, Engineering, Manufacturing, Online Aggregator, Platform",5 Crore + INR,"Mumbai, Maharashtra"
VIKASH SHARMA,,"Ideation, Validation, EarlyTraction","Aeronautics Aerospace & Defence, AI, Analytics, AR VR (Augmented + Virtual Reality), Automotive, Green Technology, Finance Technology, Internet of Things, IT Services, Social Impact, Advertising, Agriculture","Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Tires & Rubber Products, Others, Waste Management, Clean Tech, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management, Others, NGO, Others, AdTech, Online Classified, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Consulting, Consumer Internet, E-commerce, Engineering, Governments, Hyperlocal, Location Based Services, Marketplace, Mobile, Online Aggregator, Rental, SaaS, Sharing Economy, Subscription Commerce",0 - 25 Lacs INR,"Ghaziabad, Uttar Pradesh"
CALCUTTA ANGELS NETWORK,Angel Group,"EarlyTraction, Scaling","AI, Analytics, Chemicals, Telecommunication & Networking, Computer Vision, Renewable Energy, Enterprise Software, Finance Technology, Technology Hardware, Healthcare & Lifesciences, Media & Entertainment, Nanotechnology, Retail, Other Specialty Retailers, Robotics, Transportation & Storage, Agriculture","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Commodity Chemicals, Agricultural Chemicals, Specialty Chemicals, Diversified Chemicals, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, Auto Vehicles, Parts & Service Retailers, Home Improvement Products & Services Retailers, Home Furnishings Retailers, Computer & Electronics Retailers, Others, Robotics Technology, Robotics Application, Others, Freight & Logistics Services, Passenger Transportation Services, Transport Infrastructure, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Consumer Internet, Enterprise Mobility, Location Based Services, Manufacturing, Marketplace, Platform, SaaS, Sharing Economy, Subscription Commerce",50 Lacs - 2 Crore INR,"Kolkata, West Bengal"
INDRAJEET MITRA,Private Company,"Validation, EarlyTraction, Scaling","Aeronautics Aerospace & Defence, AI, Analytics, AR VR (Augmented + Virtual Reality), Telecommunication & Networking, Enterprise Software, Internet of Things, IT Services","Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management","Consulting, Enterprise Mobility, Governments, Location Based Services, SaaS",2 Crore - 5 Crore INR,"Ahmedabad, Gujarat"
YASHWANTH HEMARAJ,Venture Capital,"EarlyTraction, Scaling","AI, Computer Vision, Enterprise Software, Technology Hardware, IT Services, Robotics, Security Solutions","Machine Learning, NLP, Others, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, IT Consulting, BPO, Product Development, Application Development, Testing, IT Management, Project Management, Robotics Technology, Robotics Application, Others, Cyber Security","Consulting, SaaS, Subscription Commerce",2 Crore - 5 Crore INR,"Bengaluru, Karnataka"
GAURAV BARICK,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling",AI,"Machine Learning, NLP, Others",Consulting,2 Crore - 5 Crore INR,"Delhi, Delhi"
VARUN VARDE,Private Company,EarlyTraction,IT Services,"Web Development, Product Development, Project Management","Consumer Internet, Enterprise Mobility, Marketplace, Mobile",0 - 50 Lacs INR,"Ahmedabad, Gujarat"
RAJASTHAN ANGEL INNOVATORS NETWOK,Angel Group,EarlyTraction,"AI, AR VR (Augmented + Virtual Reality), Enterprise Software, Technology Hardware, Internet of Things","Machine Learning, NLP, Others, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Smart Home, Manufacturing & Warehouse, Wearables","Consulting, E-commerce, Engineering, Enterprise Mobility, Hyperlocal, Location Based Services",50 Lacs - 2 Crore INR,"Jaipur, Rajasthan"
NEXT ORBIT VENTURES FUND,Venture Capital,"Validation, EarlyTraction, Scaling","Aeronautics Aerospace & Defence, AI, AR VR (Augmented + Virtual Reality), Automotive, Telecommunication & Networking, Technology Hardware, Internet of Things, Robotics","Drones, Others, Machine Learning, NLP, Others, Others, Auto, Truck & Motorcycle Parts, Wireless, Integrated communication services, Network Technology Solutions, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Robotics Technology, Robotics Application","Engineering, Enterprise Mobility, Manufacturing",5 Crore + INR,"Mumbai, Maharashtra"
OMNIVORE PARTNERS,Venture Capital,"EarlyTraction, Scaling","Green Technology, Food & Beverages, Internet of Things, Transportation & Storage, Agriculture","Clean Tech, Food Processing, Others, Others, Freight & Logistics Services, Others, Agri-Tech, Food Processing",Consulting,5 Crore + INR,"Delhi, Delhi"
THE CHENNAI ANGELS,Angel Group,"EarlyTraction, Scaling","AI, Analytics, AR VR (Augmented + Virtual Reality), Automotive, Telecommunication & Networking, Computer Vision, Education, Renewable Energy, Green Technology, Enterprise Software, Finance Technology, Healthcare & Lifesciences, Internet of Things, Nanotechnology, Robotics, Security Solutions, Sports, Transportation & Storage","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Auto, Truck & Motorcycle Parts, Tires & Rubber Products, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Others, E-learning, Education Technology, Skill Development, Coaching, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Crowdfunding, Trading, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Others, Robotics Technology, Robotics Application, Others, Cyber Security, Home Security solutions, Others, Fantasy Sports, Sports Promotion and Networking, Others, Freight & Logistics Services, Passenger Transportation Services, Transport Infrastructure","Consumer Internet, Discovery, E-commerce, Enterprise Mobility, Hyperlocal, Location Based Services, Marketplace, Peer to Peer, Platform, SaaS, Sharing Economy",50 Lacs - 2 Crore INR,"Chennai, Tamil Nadu"
TAN ADVISORS PVT LTD.,Angel Group,"EarlyTraction, Scaling","Marketing, Aeronautics Aerospace & Defence, AI, Analytics, Animation, AR VR (Augmented + Virtual Reality), Architecture Interior Design, Education, Green Technology, Enterprise Software, Technology Hardware, Healthcare & Lifesciences, Media & Entertainment, Textiles & Apparel, Agriculture","Sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market Research, Others, Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Others, Others, E-learning, Education Technology, Skill Development, Coaching, Others, Waste Management, Clean Tech, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Leather Textiles Goods, Non- Leather Textiles Goods, Apparel & Accessories, Leather Footwear, Non- Leather Footwear, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Consulting, Consumer Internet, Discovery, Hyperlocal, Location Based Services, Manufacturing, Marketplace, Online Aggregator, Platform, SaaS",0 - 50 Lacs INR,"Ludhiana, Punjab"
PARAMPARA CAPITAL,Venture Capital,"Validation, EarlyTraction","Aeronautics Aerospace & Defence, AI, Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Enterprise Software, Finance Technology, Nanotechnology, Robotics, Security Solutions","Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Others, Robotics Technology, Robotics Application, Others, Cyber Security, Home Security solutions, Others",SaaS,5 Crore + INR,"Mumbai, Maharashtra"
SIDDARTH JAISWAL,,"Ideation, Validation, EarlyTraction","Marketing, Renewable Energy, Green Technology, Finance Technology, Advertising","Sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market Research, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, AdTech, Online Classified","Consulting, Consumer Internet, Discovery, Location Based Services, Manufacturing, Marketplace, Peer to Peer, Sharing Economy, Subscription Commerce",25 Lacs - 50 Lacs INR,"Bengaluru, Karnataka"
BRENT ZETTEL,Venture Capital,"Validation, EarlyTraction","Education, Finance Technology, Healthcare & Lifesciences, Social Impact, Agriculture","E-learning, Education Technology, Skill Development, Coaching, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Mobile, Social Enterprise",2 Crore - 5 Crore INR,"Bengaluru, Karnataka"
VIJAY TALREJA,,EarlyTraction,"Enterprise Software, Retail","Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Retail Technology, Social Commerce, Comparison Shopping","E-commerce, SaaS",0 - 25 Lacs INR,"Mumbai, Maharashtra"
KARAN MOHLA,Venture Capital,EarlyTraction,"Fashion, Finance Technology, Media & Entertainment, Retail, Other Specialty Retailers, Sports, Travel & Tourism","Fashion Technology, Lifestyle, Apparel, Fan Merchandise, Jewellery, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, Auto Vehicles, Parts & Service Retailers, Home Improvement Products & Services Retailers, Home Furnishings Retailers, Computer & Electronics Retailers, Others, Fantasy Sports, Sports Promotion and Networking, Others, Holiday Rentals, Hotel, Experiential Travel, Ticketing, Hospitality, Facility Management,","Consumer Internet, Discovery, E-commerce, Marketplace, Mobile, Online Aggregator, Platform, Sharing Economy",5 Crore + INR,"Delhi, Delhi"
YOURNEST CAPITAL ADVISORS PVT LTD,Venture Capital,Validation,"AI, Enterprise Software, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Nanotechnology, Security Solutions","Cloud, Others, Others, Wearables, Others, Others",SaaS,2 Crore - 5 Crore INR,"Gurugram, Haryana"
UNICORN INDIA VENTURES,Venture Capital,"Validation, EarlyTraction","Marketing, Aeronautics Aerospace & Defence, AI, Analytics, AR VR (Augmented + Virtual Reality), Automotive, Telecommunication & Networking, Computer Vision, Education, Renewable Energy, Green Technology, Enterprise Software, Finance Technology, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Media & Entertainment, Nanotechnology, Professional & Commercial Services, Retail, Robotics, Security Solutions, Social Impact, Social Network, Transportation & Storage, Travel & Tourism, Advertising, Agriculture","Sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market Research, Others, Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Tires & Rubber Products, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Others, E-learning, Education Technology, Skill Development, Coaching, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Others, Environmental Services & Equipment, Commercial Printing Services, Employment Services, Business Support Services, Professional Information Services, Business Support Supplies, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, Robotics Technology, Robotics Application, Others, Cyber Security, Home Security solutions, Others, NGO, Others, Others, Freight & Logistics Services, Passenger Transportation Services, Transport Infrastructure, Others, Holiday Rentals, Hotel, Experiential Travel, Ticketing, Hospitality, Facility Management, Others, AdTech, Online Classified, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Consulting, Consumer Internet, Discovery, E-commerce, Engineering, Enterprise Mobility, Governments, Hyperlocal, Location Based Services, Manufacturing, Marketplace, Mobile, Online Aggregator, Peer to Peer, Platform, Rental, Research, SaaS, Sharing Economy, Social Enterprise, Subscription Commerce",5 Crore + INR,"Mumbai, Maharashtra"
ARPIT AGARWAL,Venture Capital,"EarlyTraction, Scaling","Telecommunication & Networking, Renewable Energy, Healthcare & Lifesciences","Wireless, Integrated communication services, Network Technology Solutions, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology","Consumer Internet, Engineering, Mobile, SaaS, Sharing Economy",2 Crore - 5 Crore INR,"Delhi, Delhi"
OM MANCHANDA,Angel Group,EarlyTraction,"Internet of Things, Pets & Animals","Smart Home, Manufacturing & Warehouse, Wearables, Others",E-commerce,25 Lacs - 50 Lacs INR,"Delhi, Delhi"
RISHI SRIVASTAVA,Angel Group,EarlyTraction,"AI, Analytics, Computer Vision, Enterprise Software, Finance Technology, Social Network","Machine Learning, NLP, Big Data, Data Science, Others, Cloud, Insurance, Bitcoin and Blockchain","Engineering, Enterprise Mobility, Location Based Services, Mobile, SaaS",0 - 25 Lacs INR,"Gurugram, Haryana"
